Tipo de Peça,id_peça,Data,Média Delta temp_nozzle,Máximo Delta temp_nozzle,Média Delta Mesa (°C),Variação X,Variação Y,Variação Z,X_max,X_min,Y_max,Y_min,Média PWM Extrusora,Desvio Padrão PWM Extrusora,Média PWM Bed,Desvio Padrão PWM Bed,Resultado
QUADRADO,1,2025-04-29 10:45:07/11:00:10,0.012395833333334197,0.8499999999999943,0.0018749999999997727,20.740135582106635,21.282438163352705,0.1646741667263268,145.63,75.16,144.94,74.71,67.0,4.294427233422159,32.40625,4.107959219292278,OK
L,2,2025-04-29 12:25:51/12:46:06,0.010319148936171408,0.6100000000000136,0.0007446808510638321,41.263555030147856,33.21533757624451,0.08261730719613383,166.86,50.39,170.19,50.52,65.40425531914893,3.125748594848474,32.92553191489362,5.1603104051466815,OK
RETANGULO,3,2025-05-02 10:10:26/10:25:49,-0.016363636363635508,2.530000000000001,0.0016883116883114426,23.023521868092345,38.73638825717398,0.09130630923032185,145.26,76.15,170.38,49.91,64.05194805194805,15.980988790876113,35.116883116883116,4.59683537016164,NOK
QUADRADO,4,2025-05-06 13:59:33/14:07:02,0.0012765957446839156,0.1299999999999954,-0.0014893617021278151,18.064202859509052,9.071851970894265,0.10090499582190261,143.85,75.16,139.18,84.27,66.38297872340425,1.5955534883920606,33.319148936170215,3.4458947407447496,NOK
QUADRADO,5,2025-05-07 09:23:20/09:38:24,-0.005714285714284579,0.0800000000000125,-0.0008163265306124438,21.32727304602951,18.44093145946764,0.1926929790948281,143.85,75.16,144.89,75.62,68.3061224489796,1.9071658860231415,33.61224489795919,4.006779443195868,OK
QUADRADO,6,2025-05-07 13:52:32/14:07:23,0.01376470588235514,0.5600000000000023,-0.0005882352941178633,21.367746782571682,20.419043821099883,0.1632595598085262,145.1,75.45,145.63,75.11,67.6470588235294,2.8937777350432308,35.65882352941176,5.213428040433004,OK
QUADRADO,7,2025-05-08 10:27:17/10:52:36,-0.004171779141102767,0.2800000000000011,0.0011656441717789515,19.90021322605891,19.70732127748371,0.6994056326579811,143.85,75.11,145.29,74.81,69.60736196319019,2.5103134987489235,34.717791411042946,4.577871091894118,OK
RETANGULO,8,2025-05-12 09:03:02/09:18:38,0.019600000000001123,1.3199999999999932,-0.0002666666666668971,18.985388383818048,43.113183421836325,0.09078211319972958,144.55,74.37,170.16,50.52,66.44,4.984408121765745,34.32,4.439259738630645,OK
RETANGULO,9,2025-05-12 11:10:27/11:10:30,-0.00500000000000965,0.0099999999999909,-0.004999999999999,3.203193718775061,0.0,0.0,91.18,86.65,61.56,61.56,72.5,0.7071067811865476,34.0,1.4142135623730951,OK
RETANGULO,10,2025-05-12 13:14:28/13:25:28,0.005660377358490776,0.4300000000000068,0.0005660377358489434,18.480429443013225,36.05662273824442,0.07286426149573089,138.37,75.16,169.74,50.9,65.69811320754717,1.7274359128753334,31.18867924528302,3.600516008817801,OK
L,11,2025-05-13 08:58:31/09:13:55,0.0074193548387111825,0.4000000000000057,0.001827956989247099,21.95786318737108,36.87300038988974,0.08772331944262289,144.63,74.75,170.53,50.52,66.40860215053763,1.7335347097751823,31.967741935483872,3.7371565943829133,NOK
RETANGULO,12,2025-05-13 12:52:50/13:07:31,0.016000000000000472,0.9300000000000068,0.0015714285714281556,20.475193112455063,35.929995790217966,0.08502544626883166,144.55,74.77,169.45,49.8,65.64285714285714,3.5428462899720237,33.1,5.093758613400737,OK
RETANGULO,13,2025-05-14 09:07:32/09:22:48,-0.005555555555554054,0.0800000000000125,0.001527777777777669,15.365577275334065,39.80941259607672,0.10072203103706698,137.01,75.11,169.52,61.56,66.70833333333333,1.6567191403068762,32.041666666666664,4.563904616894692,OK
RETANGULO,14,2025-05-14 11:37:22/11:52:25,-0.07309278350515439,2.3499999999999943,0.004639175257731836,22.131981977941557,36.37327745182883,0.11237078349133346,145.59,75.16,170.19,49.85,65.90721649484536,14.298952812929755,32.83505154639175,5.680156270537982,OK
QUADRADO,15,2025-05-14 13:46:36/14:00:29,-0.08585937499999874,1.1500000000000057,-0.002265625000000046,19.310343301174186,18.872502462259533,0.5388430848389354,145.63,74.77,135.84,74.81,69.1171875,12.766603266205657,36.203125,4.423201845601118,OK
L,16,2025-05-14 15:32:50/15:47:54,-0.004772727272725729,0.1299999999999954,-0.00015151515151517488,34.22293588257418,33.25776461836321,0.14550618311508648,169.61,61.0,161.51,50.9,68.52272727272727,2.824283761371492,31.21969696969697,3.5324329222534088,OK
RETANGULO,17,2025-05-15 09:04:56/09:20:00,-0.0052671755725186365,0.2299999999999897,-0.0016793893129770886,20.011552921449315,36.19784317429809,0.1874347431660855,138.37,78.57,169.79,50.9,69.8473282442748,2.31208624553919,33.66412213740458,3.8662458177706758,OK
RETANGULO,18,2025-05-15 10:35:33/10:50:28,-0.8076288659793821,2.219999999999999,0.0021649484536080343,21.453657030656455,36.81260767773845,0.12840109853604506,145.29,74.59,169.74,49.51,68.02061855670104,13.726479414380153,33.329896907216494,5.36524628489639,OK
QUADRADO,19,2025-05-15 12:49:44/13:04:45,0.07944827586206885,4.879999999999996,0.0019310344827584791,18.493999972018898,19.10712992488901,1.1665501107278509,145.49,83.38,144.9,74.32,69.51034482758621,12.007010244817694,34.51724137931034,4.428605637525236,OK
RETANGULO,20,2025-05-15 13:51:48/14:06:48,-0.31552447552447543,1.9199999999999875,0.0024475524475523055,21.792375586152676,36.72184563394874,0.21699356021391109,145.63,74.71,169.74,49.81,70.73426573426573,12.807871176340473,33.24475524475525,4.084006564976555,OK
L,21,2025-05-15 15:20:24/15:35:27,-0.3160655737704909,1.2299999999999898,-0.0003278688524591838,33.94634239676852,37.40825459942152,8.396941210513554e-17,163.63,50.9,170.53,50.52,61.16393442622951,11.957118281409969,32.40983606557377,5.407948006346239,OK
L,22,2025-05-16 07:09:51/07:24:50,-0.003703703703703232,0.2599999999999909,-0.001111111111111612,32.22970889468499,33.7520517582049,0.09935757647391129,158.64,49.41,169.79,50.52,67.07407407407408,2.4635803430396352,34.620370370370374,5.713923955072165,OK
QUADRADO,23,2025-05-16 09:28:54/09:43:58,-0.014901960784313727,0.7700000000000102,-0.0005882352941176686,18.52025146861169,19.269428294136056,0.7217914663379962,145.63,74.71,144.89,74.81,70.54901960784314,3.151735479463297,34.712418300653596,4.751278501921433,OK
L,24,2025-05-16 10:25:15/10:50:13,-0.06384210526315712,1.9699999999999989,0.0007894736842103311,36.7489293277721,35.27939192833157,0.18854986760093245,159.88,49.81,169.79,50.56,68.96842105263158,8.990827344005286,31.557894736842105,4.610124100462511,NOK
QUADRADO,25,2025-05-21 09:42:47/09:57:53,-0.09007692307692314,1.210000000000008,0.0008461538461537314,21.366353114970835,33.65170243150077,0.16081791909104903,145.26,75.11,170.13,49.85,67.87692307692308,12.338893813331593,32.146153846153844,4.0883869157709505,NOK
L,26,2025-05-26 14:25:17/14:40:23,0.2521739130434784,19.370000000000005,0.001366459627328787,19.133254655460263,18.336984175263606,1.0967189488789681,144.89,76.15,145.3,77.66,69.81987577639751,16.807694740340573,31.88198757763975,3.795357166966598,NOK
QUADRADO,27,2025-05-28 10:23:15/10:48:08,-1.2268361581920888,4.289999999999992,0.0005649717514119955,19.067233978926854,19.87055525788078,0.6383409909908816,144.63,74.31,145.02,75.42,69.11864406779661,27.053241747710985,31.971751412429377,4.734339469300905,NOK
QUADRADO,28,2025-05-30 13:07:06/13:22:06,0.026530612244899932,1.3199999999999932,-6.802721088453322e-05,19.1512318666188,40.92579501965728,0.15880928752783147,144.95,74.37,163.57,49.69,66.41496598639456,4.7727013938361535,29.163265306122447,4.435289393542773,OK
